subject,RSN,RSN_name,IC,corr,rank,selected
HCD0988682,8,Executive Control,32,0.116,top2,False
HCD0988682,9,Frontoparietal,38,0.204,top1,True
HCD0988682,9,Frontoparietal,42,0.167,top2,False
HCD0988682,10,Frontoparietal,37,0.312,top1,True
HCD0988682,10,Frontoparietal,67,0.114,top2,False
HCD0267242,1,Visual,32,0.301,top1,True
HCD0267242,1,Visual,22,0.056,top2,False
HCD0267242,2,Visual,38,0.153,top1,True
HCD0267242,2,Visual,32,0.118,top2,False
HCD0267242,3,Visual,12,0.243,top1,True
HCD0267242,3,Visual,38,0.116,top2,False
HCD0267242,4,Default Mode Network,46,0.169,top1,True
HCD0267242,4,Default Mode Network,36,0.162,top2,False
HCD0267242,6,Sensorimotor,22,0.141,top1,True
HCD0267242,6,Sensorimotor,43,0.091,top2,False
HCD0267242,7,Auditory,22,0.189,top1,True
HCD0267242,7,Auditory,42,0.071,top2,False
HCD0267242,8,Executive Control,27,0.129,top1,True
HCD0267242,8,Executive Control,44,0.127,top2,False
HCD0267242,9,Frontoparietal,17,0.205,top1,True
HCD0267242,9,Frontoparietal,35,0.127,top2,False
HCD0267242,10,Frontoparietal,20,0.196,top1,True
HCD0267242,10,Frontoparietal,48,0.092,top2,False
HCD0183438,1,Visual,45,0.167,top1,True
HCD0183438,1,Visual,44,0.055,top2,False
HCD0183438,2,Visual,35,0.104,top1,True
HCD0183438,2,Visual,62,0.05,top2,False
HCD0183438,3,Visual,35,0.194,top1,True
HCD0183438,3,Visual,66,0.071,top2,False
HCD0183438,4,Default Mode Network,34,0.215,top1,True
HCD0183438,4,Default Mode Network,59,0.15,top2,False
HCD0183438,6,Sensorimotor,66,0.112,top1,True
HCD0183438,6,Sensorimotor,44,0.08,top2,False
HCD0183438,7,Auditory,46,0.136,top1,True
HCD0183438,7,Auditory,44,0.1,top2,False
HCD0183438,8,Executive Control,41,0.154,top1,True
HCD0183438,8,Executive Control,62,0.124,top2,False
HCD0183438,9,Frontoparietal,30,0.229,top1,True
HCD0183438,9,Frontoparietal,67,0.108,top2,False
HCD0183438,10,Frontoparietal,32,0.236,top1,True
HCD0183438,10,Frontoparietal,25,0.135,top2,False
HCD0146331,1,Visual,31,0.315,top1,True
HCD0146331,1,Visual,24,0.251,top2,False
HCD0146331,2,Visual,50,0.28,top1,True
HCD0146331,2,Visual,24,0.16,top2,False
HCD0146331,3,Visual,73,0.203,top1,True
HCD0146331,3,Visual,34,0.148,top2,False
HCD0146331,4,Default Mode Network,30,0.195,top1,True
HCD0146331,4,Default Mode Network,31,0.125,top2,False
HCD0146331,6,Sensorimotor,35,0.124,top1,True
HCD0146331,6,Sensorimotor,52,0.11,top2,False
HCD0146331,7,Auditory,51,0.113,top1,True
HCD0146331,7,Auditory,73,0.105,top2,False
HCD0146331,8,Executive Control,51,0.14,top1,True
HCD0146331,8,Executive Control,13,0.086,top2,False
HCD0146331,9,Frontoparietal,54,0.169,top1,True
HCD0146331,9,Frontoparietal,30,0.083,top2,False
HCD0146331,10,Frontoparietal,30,0.147,top1,True
HCD0146331,10,Frontoparietal,58,0.141,top2,False
HCD1842558,1,Visual,25,0.304,top1,True
HCD1842558,1,Visual,60,0.173,top2,False
HCD1842558,2,Visual,40,0.245,top1,True
HCD1842558,2,Visual,73,0.099,top2,False
HCD1842558,3,Visual,32,0.18,top1,True
HCD1842558,3,Visual,60,0.11,top2,False
HCD1842558,4,Default Mode Network,49,0.196,top1,True
