HCD1796577	1	64
HCD1796577	2	41
HCD1796577	3	43
HCD1796577	4	89
HCD1796577	6	50
HCD1796577	7	44
HCD1796577	8	45
HCD1796577	9	37
HCD1796577	10	57
HCD2155140	1	24
HCD2155140	2	41
HCD2155140	3	32
HCD2155140	4	34
HCD2155140	6	38
HCD2155140	7	39
HCD2155140	8	42
HCD2155140	9	16
HCD2155140	10	10
HCD0919562	1	46
HCD0919562	2	53
HCD0919562	3	29
HCD0919562	4	26
HCD0919562	6	40
HCD0919562	7	23
HCD0919562	8	43
HCD0919562	9	32
HCD0919562	10	42
HCD0245030	1	58
HCD0245030	2	66
HCD0245030	3	60
HCD0245030	4	55
HCD0245030	6	87
HCD0245030	7	115
HCD0245030	8	37
HCD0245030	9	61
HCD0245030	10	51
HCD0152932	1	47
HCD0152932	2	39
HCD0152932	3	40
HCD0152932	4	53
HCD0152932	6	24
HCD0152932	7	13
HCD0152932	8	50
HCD0152932	9	28
HCD0152932	10	73
HCD2122125	1	36
HCD2122125	2	36
HCD2122125	3	35
HCD2122125	4	39
HCD2122125	6	42
HCD2122125	7	38
HCD2122125	8	27
HCD2122125	9	48
HCD2122125	10	44
HCD0988682	1	47
HCD0988682	2	47
HCD0988682	3	48
HCD0988682	4	39
HCD0988682	6	65
HCD0988682	7	58
HCD0988682	8	40
HCD0988682	9	38
HCD0988682	10	37
HCD0267242	1	32
HCD0267242	2	38
HCD0267242	3	12
HCD0267242	4	46
HCD0267242	6	22
HCD0267242	7	22
HCD0267242	8	27
HCD0267242	9	17
HCD0267242	10	20
HCD0183438	1	45
HCD0183438	2	35
HCD0183438	3	35
HCD0183438	4	34
HCD0183438	6	66
HCD0183438	7	46
HCD0183438	8	41
HCD0183438	9	30
HCD0183438	10	32
HCD0146331	1	31
HCD0146331	2	50
HCD0146331	3	73
HCD0146331	4	30
HCD0146331	6	35
HCD0146331	7	51
HCD0146331	8	51
HCD0146331	9	54
HCD0146331	10	30
HCD1842558	1	25
HCD1842558	2	40
HCD1842558	3	32
HCD1842558	4	49
HCD1842558	6	44
HCD1842558	7	44
HCD1842558	8	55
HCD1842558	9	31
HCD1842558	10	19
HCD2600034	1	41
HCD2600034	2	23
HCD2600034	3	52
HCD2600034	4	48
HCD2600034	6	56
HCD2600034	7	26
HCD2600034	8	41
HCD2600034	9	49
HCD2600034	10	38
HCD1196553	1	55
HCD1196553	2	57
HCD1196553	3	42
HCD1196553	4	25
HCD1196553	6	61
HCD1196553	7	54
HCD1196553	8	33
HCD1196553	9	20
HCD1196553	10	47
