739	2	1
721	1	25
721	2	45
721	3	24
721	4	47
721	6	34
721	7	50
721	8	37
721	9	48
721	10	48
720	1	32
720	2	26
720	3	26
720	4	33
720	6	47
720	7	63
720	9	44
720	10	33
711	1	5
711	2	5
711	3	18
711	4	26
711	6	20
711	7	20
711	8	29
711	9	48
711	10	48
048	1	21
048	2	1
048	3	21
048	4	28
048	9	26
048	10	28
003	1	72
003	2	95
003	3	95
003	4	66
003	6	86
003	7	110
003	8	84
003	9	63
003	10	63
366	1	53
366	2	25
366	3	29
366	4	34
366	6	40
366	7	39
366	9	18
366	10	31
010	1	28
010	2	28
010	3	38
010	4	12
010	6	16
010	7	21
010	8	21
010	9	2
010	10	36
